Features:  1:Availability 2:Interlinking 3:W2VGlove 4:Consistency 5:PageRank 6:Understandability 7:Lucene 8:Believability 9:Width 10:WordNet 11:Depth
0 qid:0 1:0.0 2:7.0 3:0.0 4:1.0 5:0.0 6:0.0033783783783783786 7:0.0 8:0.0 9:296.0 10:0.0 11:0.0 # query=activity; ontology=http://sweet.jpl.nasa.gov/2.3/stateTimeGeologic.owl
0 qid:0 1:0.0 2:0.0 3:0.0 4:1.0 5:0.0 6:0.1276595744680851 7:0.0 8:0.0 9:47.0 10:0.0 11:46.0 # query=activity; ontology=http://sweet.jpl.nasa.gov/2.3/propTime.owl
0 qid:0 1:1.0 2:0.0 3:0.0 4:1.0 5:0.0 6:1.2692307692307692 7:0.0 8:0.0 9:78.0 10:2.0 11:53.0 # query=activity; ontology=http://openiot.eu/ontology/ns
0 qid:0 1:0.0 2:1.0 3:0.0 4:1.0 5:0.0 6:0.05263157894736842 7:0.0 8:0.0 9:57.0 10:0.0 11:16.0 # query=activity; ontology=http://sweet.jpl.nasa.gov/2.3/realmOceanFeature.owl
0 qid:0 1:0.0 2:0.0 3:0.0 4:1.0 5:0.0 6:0.09090909090909091 7:0.0 8:0.0 9:11.0 10:0.0 11:10.0 # query=activity; ontology=http://sweet.jpl.nasa.gov/2.3/humanEnvirConservation.owl
0 qid:0 1:0.0 2:0.0 3:0.0 4:1.0 5:0.0 6:0.3684210526315789 7:0.0 8:0.0 9:19.0 10:0.0 11:17.0 # query=activity; ontology=http://sweet.jpl.nasa.gov/2.3/phenAtmoSky.owl
0 qid:0 1:0.0 2:0.0 3:0.0 4:0.0 5:0.0 6:0.10256410256410256 7:0.0 8:0.0 9:39.0 10:2.7071067690849304 11:33.0 # query=activity; ontology=http://sweet.jpl.nasa.gov/2.3/matr.owl
0 qid:0 1:0.0 2:1.0 3:0.0 4:1.0 5:0.0 6:0.2391304347826087 7:0.0 8:0.0 9:46.0 10:0.0 11:43.0 # query=activity; ontology=http://sweet.jpl.nasa.gov/2.3/propEnergyFlux.owl
0 qid:0 1:0.0 2:0.0 3:0.0 4:1.0 5:0.0 6:0.24752475247524752 7:0.0 8:0.0 9:101.0 10:0.0 11:6.0 # query=activity; ontology=http://www.ibm.com/SCTC/ontology/SIRIBasedTransportation.owl
0 qid:0 1:1.0 2:0.0 3:0.7454251646995544 4:1.0 5:0.0 6:1.7017543859649122 7:0.0 8:0.0 9:57.0 10:1.0606601536273956 11:9.0 # query=activity; ontology=http://purl.oclc.org/NET/UNIS/fiware/iot-lite
