"authorid","pubid","cites","cites_cleaned","X2018","X2017","X2016","X2015","X2014","X2013","X2012","X2011","X2010","X2009","X2008","X2007","X2006","X2005","X2004","X2003","X2002"
"2oNi7DkAAAAJ","blknAaTinKkC",9,9,1,2,3,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"uFdeTMkAAAAJ","IjCSPb-OGe4C",8,6,3,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4pjeAWcAAAAJ","4TOpqqG69KYC",128,128,7,18,20,22,23,19,18,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"grieP_gAAAAJ","7PzlFSSx8tAC",9,5,1,0,1,0,1,0,2,0,1,NA,NA,NA,NA,NA,NA,NA,NA
"u2I2pDUAAAAJ","2osOgNQ5qMEC",38,36,3,11,4,10,5,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"loSUysEAAAAJ","9yKSN-GCB0IC",34,30,3,4,6,4,2,4,1,3,3,4,NA,NA,NA,NA,NA,NA,NA
"FUdUWB4AAAAJ","j3f4tGmQtD8C",1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"5YHZ4VQAAAAJ","otzGkya1bYkC",4,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"GLByS4gAAAAJ","GnPB-g6toBAC",44,38,1,6,8,9,8,5,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"XPBWK5cAAAAJ","HKviVsUxM5wC",71,51,13,20,10,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"imPXOtoAAAAJ","u5HHmVD_uO8C",348,328,17,41,39,26,29,33,25,29,32,24,18,2,1,NA,NA,NA,NA
"_HErTC0AAAAJ","9yKSN-GCB0IC",382,379,20,30,38,24,18,25,27,29,28,29,21,21,23,18,17,7,1
"iPiTpMQAAAAJ","hqOjcs7Dif8C",3,3,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"sUgbvKoAAAAJ","RHpTSmoSYBkC",14,12,3,7,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"i1bkfLsAAAAJ","d1gkVwhDpl0C",34,27,5,7,5,6,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"_kOuLAYAAAAJ","zYLM7Y9cAGgC",27,18,4,2,1,3,3,1,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA
"O1Blx4AAAAAJ","ufrVoPGSRksC",3,3,1,1,0,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7_2bG-YAAAAJ","mB3voiENLucC",23,23,1,2,6,6,4,0,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1XgmxnMAAAAJ","u5HHmVD_uO8C",4,4,2,1,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0T3zTgMAAAAJ","9yKSN-GCB0IC",175,174,4,12,17,27,26,25,24,17,10,8,2,0,NA,NA,NA,NA,NA
"x7Ko8KoAAAAJ","u5HHmVD_uO8C",196,194,1,6,16,14,15,22,24,27,16,21,21,6,3,1,NA,NA,NA
"IFyGj20AAAAJ","u5HHmVD_uO8C",35,32,4,5,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://scholar.google.com/scholar?cites=6566589578968468847&as_sdt=2005&sciodt=0,5&hl=en","linkId",43,43,4,5,4,5,4,4,5,4,4,2,0,2,NA,NA,NA,NA,NA
"https://scholar.google.com/scholar?hl=en&as_sdt=0%2C5&q=Development+of+earthquake+ontology+for+prevention+and+prediction+%5BRamamonjisoa+et+al.+2012%5D&btnG=","linkId",0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://scholar.google.com/scholar?cites=5990278369887831974&as_sdt=2005&sciodt=0,5&hl=en","linkId",10,10,4,5,0,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://scholar.google.lu/scholar?cites=8513984636908163992&as_sdt=2005&sciodt=0,5&hl=de","linkId",12,12,5,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"https://scholar.google.lu/scholar?cites=17488700102454274197&as_sdt=2005&sciodt=0,5&hl=de","linkId",73,72,7,5,9,10,8,8,8,6,5,6,0,0,NA,NA,NA,NA,NA
