url,title,author,journal,number,cites,year,authorid,cid,pubid,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002
"https://scholar.google.lu/scholar?cites=5384110567786371066&as_sdt=2005&sciodt=0,5&hl=de",A semantic security framework and context-aware role-based access control ontology for smart spaces,"S Hosseinzadeh, S Virtanen, N Díaz-Rodríguez, J Lilius",Proceedings of the International Workshop on Semantic Big Data,8,14,2016,OCO9jOsAAAAJ,5.38E+18,fPk4N6BV_jEC,9,5,,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=3435383774659575451&as_sdt=2005&sciodt=0,5&hl=de",Towards an extensible context ontology for ambient intelligence,"D Preuveneers, J Van den Bergh, D Wagelaar, A Georges, P Rigole",European Symposium on Ambient Intelligence,148-159,385,2004,Sw2GzugAAAAJ,3.44E+18,eJXPG6dFmWUC,9,21,22,31,33,17,29,33,36,25,34,40,26,20,6,,
"https://scholar.google.lu/scholar?cites=4995725990292489248&as_sdt=2005&sciodt=0,5&hl=de",OGC GeoSPARQL-A geographic query language for RDF data,"M Perry, J Herring",OGC implementation standard,,129,2012,EGzGRokAAAAJ,5.00E+18,KlAtU1dfN6UC,22,31,20,20,18,9,6,3,,,,,,,,,
"https://scholar.google.lu/scholar?cites=7980143003166677364&as_sdt=2005&sciodt=0,5&hl=de",Extensions to the core ontology for robotics and automation,"SR Fiorini, JL Carbonera, P Gonçalves, VAM Jorge, VF Rey, T Haidegger",Robotics and Computer-Integrated Manufacturing,,28,2015,MDFAXc8AAAAJ,7.98E+18,FPJr55Dyh1AC,9,10,5,3,1,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=17392914364608063122&as_sdt=2005&sciodt=0,5&hl=de",Defining positioning in a core ontology for robotics,"JL Carbonera, S Rama Fiorini, E Prestes, VAM Jorge, M Abel",Intelligent Robots and Systems (IROS),2013 IEEE/RSJ Internationalë__Ñ_,17,2013,MDFAXc8AAAAJ,1.74E+19,roLk4NBRz8UC,1,3,2,6,1,4,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=7557312381120176757&as_sdt=2005&sciodt=0,5&hl=de",Core ontology for robotics and automation,"E Prestes, SR Fiorini, J Carbonera",INTERNATIONAL PROGRAM COMMITTEE,7,5,2014,cMr49BsAAAAJ,7.56E+18,TQgYirikUcIC,1,0,2,2,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=16537009586924601294&as_sdt=2005&sciodt=0,5&hl=de",An ontology-based reasoning framework for querying satellite images for disaster monitoring,"M Alirezaie, A Kiselev, M Längkvist, F Klügl, A Loutfi",Sensors,"17 (11), 2545",2,2017,fzOyGyYAAAAJ,1.65E+19,_xSYboBqXhAC,2,,,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=17658369818425052100&as_sdt=2005&sciodt=0,5&hl=de",Ontology based road traffic management,"AJ Bermejo, J Villadangos, JJ Astrain, A Cordoba",Intelligent Distributed Computing VI,103-108,22,2013,YhdlR68AAAAJ,1.77E+19,3fE2CSJIrl8C,2,4,4,6,2,2,2,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=14393671241116301932&as_sdt=2005&sciodt=0,5&hl=de",Agriculture Activity Ontology: An Ontology for Core Vocabulary of Agriculture Activity.,"S Joo, S Koide, H Takeda, D Horyu, A Takezaki, T Yoshida",International Semantic Web Conference (Posters & Demos),,1,2016,6f84btIAAAAJ,1.44E+19,d1gkVwhDpl0C,1,,,,,,,,,,,,,,,,
"https://scholar.google.lu/scholar?cites=16351938484575704850&as_sdt=2005&sciodt=0,5&hl=de","Towards a smart city based on cloud of things, a survey on the smart city vision and paradigms","R Petrolo, V Loscri, N Mitton",Transactions on Emerging Telecommunications Technologies,"28 (1), e2931",72,2017,yfVk114AAAAJ,1.64E+19,0EnyYjriUFMC,24,35,10,,,,,,,,,,,,,,
