LOV4IoTDumpId,LOV4IoTTableId,ScholarAuthorId,ScholarPaperId,VocabularyIRI,Filename,Domain,Devices,Tags
CarbonaroFitness2018,"Reda, Carbonaro et al.",y6QH48AAAAAJ,Wp0gIr-vW9MC,http://purl.org/ifo,ifo.ttl,fitness;wearable;health;activity,
LaftiHIT,Lafti et al. - HIT,"https://scholar.google.lu/scholar?cites=17488700102454274197&as_sdt=2005&sciodt=0,5&hl=de",linkId,http://www.Smart-Homes-owl-ontologies.com/Behaviour_SH_Ontology.owl,HIT/Behaviour_SH_Ontology.owl,smart home;behaviour,
LaftiHIT,Lafti et al. - HIT,"https://scholar.google.lu/scholar?cites=17488700102454274197&as_sdt=2005&sciodt=0,5&hl=de",linkId,http://www.gdst.uqam.ca/Documents/Ontologies/HIT/Equipment_SH_Ontology.owl,HIT/Equipment_SH_Ontology.owl,smart home;sensor,blood pressure;body thermometer;thermometer;accelerometer;gas detector;light sensor;window;door;drawer;cupboard;fall detector
LaftiHIT,Lafti et al. - HIT,"https://scholar.google.lu/scholar?cites=17488700102454274197&as_sdt=2005&sciodt=0,5&hl=de",linkId,http://www.gdst.uqam.ca/Documents/Ontologies/HIT/Event_SH_Ontology.owl,HIT/Event_SH_Ontology.owl,smart home,
LaftiHIT,Lafti et al. - HIT,"https://scholar.google.lu/scholar?cites=17488700102454274197&as_sdt=2005&sciodt=0,5&hl=de",linkId,http://www.gdst.uqam.ca/Documents/Ontologies/HIT/Habitat_SH_Ontology.owl,HIT/Habitat_SH_Ontology.owl,smart home;room,
LaftiHIT,Lafti et al. - HIT,"https://scholar.google.lu/scholar?cites=17488700102454274197&as_sdt=2005&sciodt=0,5&hl=de",linkId,http://www.Smart-Homes-owl-ontologies.com/Person_SH_Ontology.owl,HIT/Person_SH_Ontology.owl,smart home;user;health,
LaftiHIT,Lafti et al. - HIT,"https://scholar.google.lu/scholar?cites=17488700102454274197&as_sdt=2005&sciodt=0,5&hl=de",linkId,http://www.gdst.uqam.ca/Documents/Ontologies/HIT/Software_Applications_SH_Ontology.owl,HIT/Software_Applications_SH_Ontology.owl,smart home;activity,
LaftiHIT,Lafti et al. - HIT,"https://scholar.google.lu/scholar?cites=17488700102454274197&as_sdt=2005&sciodt=0,5&hl=de",linkId,http://www.gdst.uqam.ca/Documents/Ontologies/HIT/Software_Applications_SH_Ontology_Small.owl,HIT/Software_Applications_SH_Ontology_Small.owl,smart home;activity,
LaftiHIT,Lafti et al. - HIT,"https://scholar.google.lu/scholar?cites=17488700102454274197&as_sdt=2005&sciodt=0,5&hl=de",linkId,http://www.Smart-Homes-owl-ontologies.com/Task_SH__Ontology.owl,HIT/Task_SH_Ontology.owl,smart home;activity,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/action,SOUPA/action.owl,context;activity,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/agent,SOUPA/agent.owl,context;user,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/bdi,SOUPA/bdi.owl,context;behaviour,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/device,SOUPA/device.owl,product,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/digital-doc,SOUPA/digital-doc.owl,document,
CobraSoupa2003,"Chen, Finin, Joshi",p5oWQ0AAAAAJ,TesyEGJKHF4C,http://pervasive.semanticweb.org/ont/2004/06/document,SOUPA/document.owl,document,
