TrainingSet,Ranker,Features,X-foldCV,MetricForTraining,Gmax,Normalization,TestP10,TestMAP10,TestDCG10,TestNDCG10,TestRR10,TestERR10,TestP5,TestMAP5,TestDCG5,TestNDCG5,TestRR5,TestERR5,TestP1,TestMAP1,TestDCG1,TestNDCG1,TestRR1,TestERR1,TestP12,TestMAP12,TestDCG12,TestNDCG12,TestRR12,TestERR12
./train/input/TrainingSet-shuffled.txt,6,"1:11",10,ERR@10,,sum,0.5925,0.67551,14.25494,0.45222,0.82813,0.45163,0.645,0.67551,9.71324,0.35014,0.82813,0.42065,0.6875,0.67551,4.9875,0.33249,0.6875,0.31174,0.59479,0.67551,15.62593,0.47905,0.82813,0.45347
./train/input/TrainingSet-shuffled.txt,6,"c(3, 7, 10)",10,ERR@10,,sum,0.49,0.6053,10.86369,0.29795,0.65964,0.29197,0.5675,0.6053,8.14827,0.24426,0.64542,0.27474,0.55,0.6053,3.025,0.20166,0.55,0.18908,0.49998,0.6053,12.27469,0.33681,0.65964,0.30033
