VocabularyIRI,cites_norm,a_norm,b_norm
http://pervasive.semanticweb.org/ont/2004/06/policy,0.0202239075478512,0.057145064510314,0.672239980329481
http://pervasive.semanticweb.org/ont/2004/06/rcc,0.0202239075478512,0.057145064510314,0.672239980329481
http://pervasive.semanticweb.org/ont/2004/06/schedule,0.0202239075478512,0.057145064510314,0.672239980329481
http://pervasive.semanticweb.org/ont/2004/06/space,0.0202239075478512,0.057145064510314,0.672239980329481
http://pervasive.semanticweb.org/ont/2004/06/time,0.0202239075478512,0.057145064510314,0.672239980329481
http://cobra.umbc.edu/ont/2004/05/ebiquity-actions,0.185482123510293,0.0604285236022767,1
http://cobra.umbc.edu/ont/2004/05/ebiquity-geo,0.185482123510293,0.0604285236022767,1
http://cobra.umbc.edu/ont/2004/05/ebiquity-meetings,0.185482123510293,0.0604285236022767,1
http://www.pr-owl.org/pr-owl.owl,0.0325027085590467,0.0585872112487447,0.044750430292599
https://brickschema.org/schema/1.0.3/BrickFrame,0.087757313109426,0.456980247740208,0.0562248995983936
http://www.semanticweb.org/shohreh/ontologies/2013/6/untitled-ontology-7,0.058504875406284,0.0585872112487447,0.044750430292599
http://www.cs.stir.ac.uk/schemas/call_control.owl,0.00404478150957025,0.0644459323736191,0.0689743099381653
http://www.cs.stir.ac.uk/schemas/genpol.owl,0.00404478150957025,0.0644459323736191,0.0689743099381653
http://www.cs.stir.ac.uk/schemas/home_care.owl,0.00404478150957025,0.0644459323736191,0.0689743099381653
http://www.cs.stir.ac.uk/schemas/sensor_network.owl,0.00404478150957025,0.0644459323736191,0.0689743099381653
http://www.cs.stir.ac.uk/schemas/wizpol.owl,0.00404478150957025,0.0644459323736191,0.0689743099381653
http://a.com/ontology,0.159727596347315,0.0788802760680901,0.255552823539054
http://www.opengis.net/ont/geosparql,0.117009750812568,0.161533311014396,0.0689287763298091
http://purl.org/ieee1872-owl/corax,0.0219393282773565,0.133578841647138,0.0413080895008606
http://purl.org/ieee1872-owl/pos,0.0130010834236187,0.0632741881486442,0.0676993689041882
http://purl.org/ieee1872-owl/rparts,0.0219393282773565,0.133578841647138,0.0413080895008606
http://purl.org/ieee1872-owl/cora,0.00650054171180933,0.0351523267492468,0.0715241920061197
http://semrob-ontology.mpi.aass.oru.se/OntoCity.owl,0,0.0585872112487447,0.044750430292599
